iter	Logloss
0	0.686248002
1	0.6795207627
2	0.6731184151
3	0.6665947757
4	0.6603601451
5	0.654379752
6	0.6484542728
7	0.6425563776
8	0.6367094017
9	0.631231415
10	0.6264052118
11	0.6213965202
12	0.61612264
13	0.6110543884
14	0.6061615506
15	0.6016156293
16	0.5970758477
17	0.59260031
18	0.5884760344
19	0.5848219463
20	0.5807155623
21	0.5766838583
22	0.5733043206
23	0.5694506035
24	0.5655806666
25	0.5619925617
26	0.5584722617
27	0.5549828264
28	0.551562398
29	0.548406111
30	0.5457868877
31	0.5427005213
32	0.5399291758
33	0.5368221931
34	0.5339265406
35	0.5315099854
36	0.5291565221
37	0.5265270698
38	0.5237995479
39	0.5214501399
40	0.5190082821
41	0.5166176548
42	0.5142488571
43	0.5120852802
44	0.5101370693
45	0.5078253512
46	0.5058769306
47	0.503894326
48	0.5019112226
49	0.499927475
50	0.4981426051
51	0.4965870729
52	0.4948299681
53	0.4931921532
54	0.4914763304
55	0.4898063107
56	0.4880160464
57	0.4864575059
58	0.4849430231
59	0.4835194955
60	0.4820413538
61	0.4805191589
62	0.4791197701
63	0.4778549411
64	0.4763467905
65	0.4749643663
66	0.4735990275
67	0.4721282586
68	0.4708261038
69	0.4694555054
70	0.4684391469
71	0.4673416755
72	0.466117838
73	0.4650402753
74	0.4638653292
75	0.4629177017
76	0.4617867031
77	0.4606778844
78	0.4596857893
79	0.4588693313
80	0.4580577456
81	0.4571391367
82	0.4562257277
83	0.455354316
84	0.4544891729
85	0.4534414274
86	0.4526477257
87	0.4519006557
88	0.4515474778
89	0.4507692195
90	0.4498557872
91	0.4487973216
92	0.4479677965
93	0.4471855231
94	0.4464347661
95	0.445577925
96	0.4449521509
97	0.4442560758
98	0.4436136183
99	0.4429408819
100	0.4422124202
101	0.4415598768
102	0.441045737
103	0.4404511073
104	0.4398395261
105	0.4391509994
106	0.438572886
107	0.4379431881
108	0.4373268207
109	0.436771657
110	0.4362620987
111	0.435720444
112	0.4351197671
113	0.4344737797
114	0.4339817992
115	0.433354194
116	0.4328869003
117	0.4323463343
118	0.431786933
119	0.4313040395
120	0.4308787792
121	0.4303808361
122	0.429843378
123	0.4293225517
124	0.4287732035
125	0.4282602618
126	0.4278703937
127	0.4274399672
128	0.4270392629
129	0.4266878077
130	0.4264101092
131	0.4259788316
132	0.4256135805
133	0.4251821965
134	0.4247458803
135	0.4243722841
136	0.4239089885
137	0.4236141608
138	0.4233225661
139	0.422910034
140	0.4224503258
141	0.422013751
142	0.4216595688
143	0.4213168622
144	0.4209977008
145	0.4206249016
146	0.4202806704
147	0.4199266212
148	0.4195887743
149	0.4192485935
150	0.4189017442
151	0.4186790177
152	0.4184348978
153	0.4181755375
154	0.4178015608
155	0.4174522486
156	0.4171398239
157	0.4168865134
158	0.416543431
159	0.4162660115
160	0.4159609106
161	0.4156735223
162	0.415395122
163	0.4151499504
164	0.4148964702
165	0.4147190701
166	0.4144856369
167	0.4142886399
168	0.4140151036
169	0.4137100929
170	0.4134660681
171	0.413238572
172	0.4130438008
173	0.4128034036
174	0.4126000923
175	0.4123812036
176	0.4121677851
177	0.4119083809
178	0.4116857309
179	0.4114390382
180	0.4112438898
181	0.4110438902
182	0.4108633143
183	0.4106454552
184	0.4104558066
185	0.4102944472
186	0.410115785
187	0.4099557069
188	0.4097084935
189	0.40947172
190	0.409315208
191	0.4091306872
192	0.4089703809
193	0.4087692074
194	0.4085745716
195	0.4083607254
196	0.4081213897
197	0.4079107084
198	0.4076955731
199	0.4075134148
200	0.4073596143
201	0.4071514339
202	0.4069941464
203	0.406864782
204	0.4067062125
205	0.406550216
206	0.4063646576
207	0.4061989981
208	0.4060306751
209	0.4058465762
210	0.4057298
211	0.405553013
212	0.4053707563
213	0.4051927667
214	0.4050176663
215	0.4048556025
216	0.4046999704
217	0.4044931774
218	0.4043584418
219	0.4041487666
220	0.4040036111
221	0.4038631892
222	0.4036851227
223	0.4035536474
224	0.4033919901
225	0.4031988556
226	0.4030263517
227	0.4029138876
228	0.4027817515
229	0.4027044846
230	0.402546888
231	0.4024030756
232	0.402217019
233	0.402083254
234	0.401962858
235	0.4018484232
236	0.4017070306
237	0.401540143
238	0.4013963758
239	0.4012625294
240	0.4011191142
241	0.4009137851
242	0.4007520635
243	0.4006148636
244	0.4004591374
245	0.400323241
246	0.4001676517
247	0.4000190561
248	0.399863651
249	0.3997154026
250	0.3995724107
251	0.3994295577
252	0.3993304692
253	0.3991858401
254	0.3990814744
255	0.3989778309
256	0.3989024168
257	0.3987968143
258	0.3986988841
259	0.3985603516
260	0.3984354975
261	0.3982767701
262	0.3981417242
263	0.3980123964
264	0.3978493314
265	0.3977869213
266	0.3976894069
267	0.3975442761
268	0.3974455029
269	0.3972996221
270	0.3971890628
271	0.3970602806
272	0.3969449804
273	0.3968132508
274	0.3966898068
275	0.3965515607
276	0.3964668925
277	0.3963027937
278	0.3961783685
279	0.3960872231
280	0.3960009698
281	0.3958812314
282	0.3957335923
283	0.3956204986
284	0.3955513031
285	0.3954547451
286	0.395348824
287	0.3952343223
288	0.3951327968
289	0.3950030383
290	0.3948952452
291	0.3948154779
292	0.3946760038
293	0.3946270706
294	0.3945436454
295	0.394461804
296	0.3943773349
297	0.3942575822
298	0.3941798623
299	0.3940743287
300	0.3939668339
301	0.3938602378
302	0.3937767163
303	0.3936842041
304	0.3935892006
305	0.3935690334
306	0.3934755475
307	0.3933422933
308	0.3932857463
309	0.3931873421
310	0.3931006059
311	0.3929881826
312	0.3928740305
313	0.3927929689
314	0.3926950163
315	0.3926058585
316	0.3925190757
317	0.3924206381
318	0.3923159844
319	0.3922149331
320	0.3921299674
321	0.392016436
322	0.3919403637
323	0.3918528454
324	0.3917308032
325	0.3916475889
326	0.3915455058
327	0.3914702261
328	0.3913987073
329	0.3913354945
330	0.3912090069
331	0.3911434958
332	0.3910545844
333	0.3909196005
334	0.3908455275
335	0.3907794801
336	0.3907039409
337	0.3906322454
338	0.3905460295
339	0.39045763
340	0.3904060578
341	0.3903073897
342	0.3902378906
343	0.3901468381
344	0.3900274766
345	0.3898854786
346	0.3897995757
347	0.3896855057
348	0.3896011305
349	0.3895233916
350	0.3894100876
351	0.3893364532
352	0.3892471154
353	0.3891467603
354	0.3890781635
355	0.3889822375
356	0.3888839099
357	0.3888137643
358	0.3887092924
359	0.3886475645
360	0.3885435814
361	0.3884366762
362	0.3883532248
363	0.3882483257
364	0.3881743236
365	0.388091659
366	0.3880024954
367	0.3879110215
368	0.3878316236
369	0.3877746656
370	0.3876554281
371	0.387598321
372	0.3875242266
373	0.3874526781
374	0.3873911812
375	0.3873215683
376	0.3872609193
377	0.3871485583
378	0.3870525234
379	0.3869689109
380	0.3869181649
381	0.3868451952
382	0.3867649879
383	0.3866700365
384	0.3865605986
385	0.3864800196
386	0.3863765111
387	0.3862956404
388	0.3862296208
389	0.3861881207
390	0.3860768966
391	0.3859880948
392	0.3859080335
393	0.3858293106
394	0.385718609
395	0.3856508436
396	0.3855539767
397	0.3854312802
398	0.3853670382
399	0.3852285049
400	0.3851321576
401	0.3850713194
402	0.3849709812
403	0.3849090922
404	0.3848567297
405	0.3847963411
406	0.3847454362
407	0.3846376228
408	0.3845497141
409	0.38449317
410	0.3844582954
411	0.3843908907
412	0.3842982659
413	0.3842239745
414	0.38414356
415	0.3840544333
416	0.3839705123
417	0.3838939202
418	0.3837691258
419	0.3837147667
420	0.3836581772
421	0.3835812209
422	0.3835151345
423	0.3834486178
424	0.3833807353
425	0.3832471532
426	0.383176833
427	0.3831137228
428	0.3830670812
429	0.3830199109
430	0.382930934
431	0.3828615941
432	0.3827968865
433	0.3827507268
434	0.3826840019
435	0.3826210619
436	0.3825271709
437	0.3824627182
438	0.3823786587
439	0.3823313706
440	0.3822659149
441	0.3822126347
442	0.3820996471
443	0.3820084223
444	0.3819502902
445	0.3818330871
446	0.3817053287
447	0.3816343183
448	0.3815916112
449	0.3815491328
450	0.3814634139
451	0.3813996348
452	0.3812993016
453	0.3812326069
454	0.3811620788
455	0.3811031485
456	0.3810205407
457	0.3809519823
458	0.3808784094
459	0.3808164292
460	0.3807727478
461	0.3806748459
462	0.3805830062
463	0.3805079431
464	0.380404972
465	0.3803722535
466	0.3802813833
467	0.3802221214
468	0.38019187
469	0.380156884
470	0.380067864
471	0.3800036684
472	0.3799554118
473	0.3799069972
474	0.379833852
475	0.3798272469
476	0.3797260373
477	0.3796882843
478	0.3796156521
479	0.3795307723
480	0.3794511779
481	0.379381311
482	0.3793019098
483	0.3792624225
484	0.3791680243
485	0.379106965
486	0.3790678668
487	0.3790219699
488	0.3789658469
489	0.3788915997
490	0.3788340856
491	0.3787440846
492	0.378704711
493	0.3786289859
494	0.3785640775
495	0.3785210377
496	0.3784718485
497	0.3784037703
498	0.3783496705
499	0.3783166695
