iter	Passed	Remaining
0	16	8227
1	36	9124
2	55	9254
3	77	9633
4	102	10166
5	118	9772
6	133	9414
7	148	9137
8	165	9005
9	182	8961
10	200	8896
11	215	8758
12	230	8639
13	245	8508
14	260	8436
15	274	8290
16	288	8194
17	302	8113
18	315	7999
19	331	7958
20	348	7949
21	365	7934
22	387	8042
23	401	7963
24	418	7957
25	431	7862
26	444	7785
27	463	7805
28	475	7716
29	491	7701
30	505	7644
31	521	7627
32	535	7584
33	549	7537
34	566	7523
35	583	7524
36	600	7509
37	613	7462
38	629	7439
39	645	7421
40	663	7429
41	677	7388
42	696	7399
43	710	7361
44	727	7351
45	742	7325
46	756	7292
47	772	7272
48	785	7226
49	798	7186
50	809	7130
51	823	7094
52	842	7106
53	859	7097
54	874	7078
55	891	7067
56	907	7053
57	919	7004
58	931	6962
59	945	6935
60	959	6905
61	974	6883
62	989	6863
63	1006	6858
64	1024	6857
65	1038	6829
66	1054	6815
67	1069	6797
68	1085	6778
69	1100	6760
70	1121	6775
71	1137	6759
72	1151	6735
73	1166	6713
74	1180	6687
75	1193	6656
76	1207	6633
77	1220	6602
78	1233	6572
79	1246	6546
80	1261	6523
81	1276	6507
82	1293	6497
83	1307	6473
84	1321	6453
85	1339	6450
86	1356	6439
87	1372	6425
88	1378	6364
89	1394	6350
90	1407	6326
91	1423	6312
92	1437	6290
93	1452	6271
94	1466	6249
95	1481	6235
96	1496	6219
97	1511	6200
98	1525	6178
99	1538	6153
100	1553	6137
101	1567	6117
102	1583	6101
103	1599	6088
104	1613	6069
105	1631	6064
106	1645	6043
107	1661	6032
108	1676	6013
109	1691	5997
110	1706	5979
111	1719	5957
112	1733	5935
113	1746	5913
114	1760	5895
115	1775	5878
116	1789	5856
117	1802	5835
118	1818	5823
119	1835	5812
120	1849	5792
121	1862	5769
122	1875	5747
123	1890	5732
124	1906	5718
125	1920	5701
126	1939	5695
127	1958	5692
128	1972	5673
129	1993	5674
130	2001	5638
131	2016	5622
132	2031	5605
133	2049	5597
134	2064	5582
135	2079	5565
136	2098	5559
137	2113	5543
138	2130	5533
139	2145	5516
140	2158	5494
141	2178	5492
142	2192	5473
143	2208	5460
144	2225	5448
145	2240	5433
146	2255	5417
147	2268	5396
148	2283	5379
149	2297	5360
150	2313	5347
151	2329	5333
152	2345	5318
153	2360	5303
154	2376	5290
155	2391	5272
156	2405	5255
157	2422	5244
158	2438	5228
159	2455	5218
160	2472	5205
161	2484	5184
162	2500	5169
163	2514	5151
164	2530	5138
165	2545	5122
166	2559	5103
167	2575	5088
168	2589	5071
169	2604	5056
170	2622	5044
171	2635	5026
172	2655	5018
173	2672	5006
174	2690	4996
175	2710	4989
176	2729	4981
177	2749	4973
178	2765	4959
179	2778	4939
180	2791	4920
181	2809	4908
182	2826	4895
183	2840	4878
184	2855	4862
185	2871	4847
186	2888	4834
187	2903	4818
188	2917	4800
189	2931	4783
190	2947	4768
191	2962	4751
192	2979	4740
193	2995	4724
194	3009	4706
195	3024	4690
196	3039	4675
197	3055	4660
198	3069	4643
199	3088	4633
200	3104	4618
201	3124	4609
202	3138	4592
203	3153	4575
204	3169	4560
205	3185	4546
206	3201	4530
207	3219	4519
208	3234	4504
209	3253	4493
210	3269	4478
211	3286	4464
212	3300	4447
213	3315	4430
214	3334	4419
215	3350	4404
216	3365	4388
217	3379	4371
218	3392	4353
219	3403	4332
220	3415	4312
221	3429	4295
222	3442	4276
223	3458	4261
224	3473	4245
225	3487	4228
226	3501	4211
227	3517	4196
228	3535	4184
229	3554	4172
230	3568	4155
231	3582	4138
232	3597	4122
233	3611	4105
234	3627	4090
235	3643	4075
236	3659	4061
237	3675	4046
238	3693	4032
239	3712	4021
240	3728	4007
241	3743	3991
242	3756	3973
243	3772	3958
244	3791	3946
245	3806	3930
246	3821	3914
247	3838	3899
248	3856	3887
249	3871	3871
250	3888	3857
251	3903	3841
252	3918	3825
253	3936	3812
254	3949	3794
255	3963	3777
256	3977	3760
257	3989	3742
258	4002	3724
259	4020	3710
260	4037	3696
261	4053	3682
262	4067	3665
263	4084	3650
264	4098	3634
265	4106	3612
266	4120	3595
267	4137	3582
268	4155	3568
269	4172	3554
270	4189	3540
271	4205	3524
272	4221	3509
273	4235	3493
274	4254	3480
275	4267	3463
276	4285	3449
277	4300	3433
278	4315	3418
279	4331	3403
280	4345	3386
281	4359	3370
282	4374	3354
283	4389	3338
284	4402	3321
285	4416	3304
286	4429	3287
287	4442	3270
288	4457	3254
289	4469	3236
290	4484	3221
291	4503	3207
292	4517	3191
293	4533	3176
294	4556	3166
295	4577	3154
296	4597	3142
297	4611	3126
298	4628	3111
299	4643	3095
300	4657	3079
301	4673	3064
302	4688	3048
303	4702	3032
304	4719	3017
305	4725	2995
306	4739	2979
307	4755	2964
308	4771	2949
309	4786	2933
310	4803	2919
311	4818	2903
312	4833	2887
313	4850	2873
314	4864	2856
315	4879	2841
316	4893	2824
317	4908	2809
318	4919	2791
319	4932	2774
320	4948	2759
321	4964	2744
322	4979	2728
323	4993	2712
324	5009	2697
325	5022	2680
326	5035	2663
327	5049	2647
328	5065	2632
329	5080	2617
330	5097	2602
331	5111	2586
332	5127	2571
333	5145	2557
334	5160	2541
335	5179	2528
336	5195	2513
337	5209	2497
338	5224	2481
339	5238	2465
340	5251	2448
341	5264	2432
342	5277	2415
343	5294	2401
344	5306	2384
345	5322	2368
346	5336	2353
347	5349	2336
348	5363	2320
349	5377	2304
350	5392	2289
351	5405	2272
352	5421	2257
353	5433	2241
354	5447	2224
355	5460	2208
356	5475	2193
357	5490	2177
358	5508	2163
359	5529	2150
360	5548	2136
361	5565	2121
362	5583	2107
363	5598	2091
364	5614	2076
365	5630	2061
366	5646	2046
367	5666	2032
368	5679	2016
369	5694	2000
370	5709	1985
371	5724	1969
372	5743	1955
373	5758	1939
374	5772	1924
375	5787	1908
376	5804	1893
377	5819	1878
378	5835	1862
379	5849	1847
380	5865	1831
381	5877	1815
382	5891	1799
383	5913	1786
384	5929	1771
385	5943	1755
386	5967	1742
387	5980	1726
388	5998	1711
389	6017	1697
390	6033	1681
391	6048	1666
392	6063	1650
393	6077	1635
394	6091	1619
395	6105	1603
396	6118	1587
397	6138	1573
398	6157	1558
399	6172	1543
400	6191	1528
401	6206	1512
402	6220	1497
403	6237	1482
404	6255	1467
405	6269	1451
406	6285	1436
407	6301	1420
408	6314	1404
409	6328	1389
410	6340	1372
411	6352	1356
412	6367	1341
413	6382	1325
414	6397	1310
415	6410	1294
416	6424	1278
417	6437	1262
418	6450	1246
419	6464	1231
420	6480	1216
421	6497	1201
422	6516	1186
423	6534	1171
424	6549	1155
425	6565	1140
426	6580	1124
427	6594	1109
428	6607	1093
429	6620	1077
430	6632	1061
431	6644	1045
432	6657	1030
433	6671	1014
434	6686	999
435	6700	983
436	6714	968
437	6730	952
438	6745	937
439	6761	922
440	6781	907
441	6800	892
442	6816	877
443	6831	861
444	6843	845
445	6857	830
446	6873	814
447	6894	800
448	6909	784
449	6922	769
450	6938	753
451	6953	738
452	6969	723
453	6986	707
454	7005	692
455	7021	677
456	7041	662
457	7058	647
458	7070	631
459	7083	615
460	7098	600
461	7115	585
462	7129	569
463	7145	554
464	7160	538
465	7176	523
466	7191	508
467	7204	492
468	7217	477
469	7231	461
470	7247	446
471	7263	430
472	7281	415
473	7298	400
474	7311	384
475	7321	369
476	7336	353
477	7351	338
478	7365	322
479	7379	307
480	7392	292
481	7409	276
482	7424	261
483	7440	245
484	7454	230
485	7469	215
486	7486	199
487	7501	184
488	7522	169
489	7533	153
490	7549	138
491	7563	122
492	7580	107
493	7594	92
494	7608	76
495	7625	61
496	7641	46
497	7653	30
498	7669	15
499	7685	0
